Station,Id,Id1,Syn,Pro,Peuk,SynFSC,ProFSC,PeukFSC
SEATS,S1,1,5.2999909733587955,175.42133686981012,0.9228484470781539,0.05050895795494694,0.010850386677951036,1.06362293328055
SEATS,S1,2,5.139560913027353,176.5926287474462,0.9337990915925254,0.05157852286996402,0.010977320882213806,1.1059962212780725
SEATS,S1,3,5.205164263734497,178.10999523059422,0.8790784741114899,0.05312563442637188,0.011076595050388846,1.0641517927850837
SEATS,S10,1,4.48708004267539,141.36874879859477,0.6711696196444791,0.08954155633441734,0.019540924192086983,1.318312460930092
SEATS,S10,2,4.593785341372141,140.93500213796335,0.6614424681990742,0.08857533797107707,0.019299570760933006,1.357243273739077
SEATS,S10,3,4.69129676928899,138.95781390557516,0.6529321506263943,0.088780532269364,0.018957171042139502,1.2792226471550396
SEATS,S11,1,4.037816013818,141.55965661500477,0.7769586814578906,0.07724433119899715,0.018239214438580717,1.2117090925357454
SEATS,S11,2,3.9798416485252845,139.04753887796238,0.6602367466541635,0.08032241592214663,0.018396937111263674,1.3286587578132858
SEATS,S11,3,4.071845518127656,137.5008293276794,0.6164487618908951,0.08085278087069708,0.01830662135462971,1.306424793053604
SEATS,S12,1,4.2167189798605085,153.11301408714334,0.7149407801573978,0.06745294217357652,0.01563302762732328,1.2855112949865664
SEATS,S12,2,4.253087027336948,151.90013393346473,0.6930416253808063,0.06710519628244858,0.015291268564670947,1.1779609876150818
SEATS,S12,3,4.1218497276670405,152.40995680268628,0.7258833446119823,0.07309213525991248,0.015482181070556687,1.3312464993570428
SEATS,S13,1,4.523075702476728,175.29106932114647,0.7805953228467901,0.06085111575543877,0.012507943986869233,1.122222073315328
SEATS,S13,2,4.369843537627475,176.65864001841828,0.8061276308036756,0.0628807085895826,0.012645559666744867,1.2009500933297599
SEATS,S13,3,4.782062559109124,174.29176370156847,0.8097707879306131,0.06371424613295218,0.012670938830378922,1.1773424417060716
SEATS,S14,1,4.727079447221203,176.88010212040467,0.7368234119761083,0.06244083949221082,0.011853719845329808,0.9938769120529358
SEATS,S14,2,4.6982759353691215,178.62932651787722,0.8025005479667753,0.05850239371786376,0.011654978614230484,1.1171337753413395
SEATS,S14,3,4.909861915411892,177.4773012457636,0.7769696320574141,0.05928122994442521,0.011522135343317074,1.07415779664317
SEATS,S15,1,5.529763982131126,187.2532742656223,0.8243579551198116,0.05365001439044041,0.010317116256725456,0.9944631067337883
SEATS,S15,2,5.486008285220624,187.31947433680773,0.8535354754689929,0.053438624907669596,0.01033917600472487,1.0896345420453475
SEATS,S15,3,5.347510716469038,185.3463264155694,0.8608543854615914,0.05451536094681334,0.010486421630320706,1.0753471730044801
SEATS,S16,1,5.107019098261387,182.49203018444126,0.8463059499696401,0.05407869375787515,0.010251116695859572,1.0837438593634918
SEATS,S16,2,5.223402242039639,182.91637742395375,0.8973154580120164,0.052016708964048024,0.009622938585783471,1.0405436494757332
SEATS,S16,3,5.106631036105616,182.45992076265475,0.9191935246565583,0.0549775254308956,0.010095722531338721,0.9640165647587657
SEATS,S17,1,4.7205977148017935,178.87121236433097,0.9594422911458469,0.054040848502017576,0.009754433447330872,1.0735907270648588
SEATS,S17,2,4.926901959154285,181.36897509208998,0.8073714412529929,0.05248419512269116,0.01000706986819612,1.0498553024088957
SEATS,S17,3,4.865885203306445,181.2487908112223,0.8608314388738598,0.05372839161364455,0.01031925584237442,1.0839464771269351
SEATS,S18,1,4.7346607744187486,177.9464253690076,0.8170711561712386,0.05558508509721581,0.010944131862909892,1.1266562449524757
SEATS,S18,2,4.5127200044639375,176.38084837474807,0.7222257301757687,0.05507477032387687,0.011249568962576442,1.1614193516140143
SEATS,S18,3,4.676513483892894,177.41931596373178,0.8426480761120342,0.05660900144169298,0.011355531135250306,1.0646120900450187
SEATS,S19,1,4.632499576134013,182.6628082458252,0.9119094078481951,0.06571542454424881,0.013018247852681335,1.2026670284124745
SEATS,S19,2,4.949953798381264,182.88197502143157,0.7915553774856592,0.06489329212236741,0.012785141402422373,1.287816095105917
SEATS,S19,3,4.734973079645239,181.43920726917946,0.8463125997516915,0.05916898676217598,0.01360398714108754,1.2589757772821633
SEATS,S2,1,5.10680780700141,175.9705163412766,0.8024866229144326,0.05437184222503447,0.011143617962108896,1.088063880988052
SEATS,S2,2,5.112305040859573,175.6623769942974,0.9392937928898607,0.05402704602359351,0.011346596637653058,1.1144265089277545
SEATS,S2,3,5.303664963901208,175.0841621299934,0.9046208294174231,0.05260741622422073,0.011235697561347006,1.166296275411066
SEATS,S20,1,4.9538006287441005,178.32216166833388,0.7988820187369841,0.0649259917119259,0.013226138088615747,1.3061017340426093
SEATS,S20,2,4.847791830475362,179.098438405103,0.7879048390143191,0.0668404312869873,0.013478352004933919,1.2937643942270856
