Station,Incubation,ExpID,Treat,Dilu,Id,Id1,Syn,Pro,Peuk,SynFSC,ProFSC,PeukFSC
K11,Day-1,K2,um0.1,0.819336337566571,B,4,7.20421709618634,139.82500655282362,0.6193098907247905,0.13644402487851554,0.028798274508821185,1.5690661446938508
K11,Day-1,K2,um0.1,0.5462242250443807,C,1,4.561903219152883,97.77461151808754,0.407418996887072,0.14688880217584782,0.030970703522512043,1.6994568851904213
K11,Day-1,K2,um0.1,0.5462242250443807,C,2,4.915787496103576,97.95591309265194,0.42228785564416227,0.14424150614596634,0.031446287299086766,1.5520885341708606
K11,Day-1,K2,um0.1,0.5462242250443807,C,3,4.8178845165417865,99.46538553993142,0.4401518209301929,0.14652704734077276,0.03141406397228023,1.4964304349745552
K11,Day-1,K2,um0.1,0.5462242250443807,C,4,4.639388495690344,96.89911506112448,0.4312103416224322,0.14691999985620552,0.03175568998464883,1.801526338878571
K11,Day-1,K2,um0.1,0.27311211252219036,D,1,2.57274577078082,49.53939973759227,0.20503323752789981,0.15213796841470234,0.030726351734868727,1.4671009677133706
K11,Day-1,K2,um0.1,0.27311211252219036,D,2,2.595224414401941,50.424316395989734,0.22188607773347752,0.14951209745114108,0.030493481616953567,1.53739799815768
K11,Day-1,K2,um0.1,0.27311211252219036,D,3,2.440719945254427,49.898538333214006,0.22750093996275653,0.14940308264759605,0.029592984505310463,1.564902730518897
K11,Day-1,K2,um0.1,0.27311211252219036,D,4,2.564359508273759,49.91937183801565,0.1994191849271009,0.14817312271131428,0.029981138248952766,1.5984853483876047
K11,Day-1,K2,kDa30,0.819336337566571,E,1,6.820852314822276,143.54123810116798,0.5529579379317532,0.13915539899327045,0.029472055115136654,1.574531430952438
K11,Day-1,K2,kDa30,0.819336337566571,E,2,7.2769441763189135,141.69342449224683,0.6414324300395726,0.1415313721750187,0.029088457568949733,1.7157020095616522
K11,Day-1,K2,kDa30,0.819336337566571,E,3,7.286552854620549,141.93296810498492,0.5814075302948131,0.13815792665679952,0.028879162201122136,1.5629873552039126
K11,Day-1,K2,kDa30,0.819336337566571,E,4,6.761891500550969,141.55102963133874,0.5434824125174569,0.14110058042814597,0.027841506476276777,1.5371186146663756
K11,Day-1,K2,kDa30,0.5462242250443807,F,1,4.764134806986531,96.90047902836392,0.3628110977712183,0.14422546408825082,0.031250027820351405,1.4989681772121637
K11,Day-1,K2,kDa30,0.5462242250443807,F,2,4.618584554299316,97.6504594762015,0.37769533304206027,0.1422712578349416,0.030757141377079116,1.538597879559668
K11,Day-1,K2,kDa30,0.5462242250443807,F,3,4.454886391213915,95.87819576284153,0.36876229139554434,0.14564969567191394,0.031082040361242794,1.6943980568979602
K11,Day-1,K2,kDa30,0.5462242250443807,F,4,4.341887286092197,95.7990820788916,0.38346131429758895,0.14412716954804686,0.030127007197231055,1.809145942641813
K11,Day-1,K2,kDa30,0.27311211252219036,G,1,2.364923063983035,48.000633392091814,0.19660871752877773,0.15351749156150335,NA,1.769998899492618
K11,Day-1,K2,kDa30,0.27311211252219036,G,2,2.435468452088159,49.61623028085778,0.1775630844029532,0.15024694356517743,0.030506849117762656,1.5191677060151543
K11,Day-1,K2,kDa30,0.27311211252219036,G,3,2.4248415677794832,48.74402149062147,0.2265685551215367,0.14886912488761744,0.030086610148208404,1.471290619211441
K11,Day-1,K2,kDa30,0.27311211252219036,G,4,2.409878770926083,48.8857186717821,0.20222746859571128,0.1517758324626195,0.030097311925287324,1.4614730700893985
K11,Day-1,K2,T0,NA,T,NA,7.8132596931555165,176.78694558406238,0.9244591247898009,0.057714984928100385,0.012464730846632143,1.136674018669837
M4,Night-1,M1,um0.1&kDa30,1,A,1,5.118916025139777,187.67736083716045,0.8991944924748695,0.06221499247539221,0.011953019675167764,1.0884016331856268
M4,Night-1,M1,um0.1&kDa30,1,A,2,5.259611560605219,188.07309838536113,0.8504213296840428,0.06319286023019535,0.011804666265432437,1.2850696450436097
M4,Night-1,M1,um0.1&kDa30,1,A,3,5.151357442598088,187.42777728128,0.9641867768480122,0.06219319155890925,0.012264243818630473,1.1752713467461393
M4,Night-1,M1,um0.1&kDa30,1,A,4,4.991543585619335,189.96302646230407,0.9235569328196278,0.06195822902582292,0.012094686803653009,1.2649968737034163
M4,Night-1,M1,um0.1,0.819336337566571,B,1,4.271057021827032,149.69013023195959,0.6743774618864955,0.06464772250572107,0.011838190226690548,1.3404514035863104
M4,Night-1,M1,um0.1,0.819336337566571,B,2,3.9840231984630354,148.36761138179415,0.6337600543086228,0.06357126782056971,0.011721382868188373,1.218734108683088
M4,Night-1,M1,um0.1,0.819336337566571,B,3,4.225010260739205,148.86437769284018,0.6147951097577762,0.06387487315025538,0.011644498626433852,1.1894008463057573
M4,Night-1,M1,um0.1,0.819336337566571,B,4,4.1437553276854215,151.92748385241975,0.6364619524715371,0.06371897809129608,0.01137216894872839,1.3056696460352908
M4,Night-1,M1,um0.1,0.5462242250443807,C,1,2.714925956042967,102.90934059864242,0.45754132976046413,0.0626122224905239,0.01219992877676267,1.2574473579834233
M4,Night-1,M1,um0.1,0.5462242250443807,C,2,2.73016111099929,103.40740617448964,0.4575551244340352,0.06576572208541596,0.011901637500611717,1.2545984415351679
M4,Night-1,M1,um0.1,0.5462242250443807,C,3,2.821024697866736,104.39982014566245,0.4651152787277543,0.061604004523062666,0.012136813651927144,1.1750534280677316
M4,Night-1,M1,um0.1,0.5462242250443807,C,4,2.9347993719612218,105.51122989658508,0.4449027698553084,0.06183143255130191,0.01165615421849616,1.2077264031844661
M4,Night-1,M1,um0.1,0.27311211252219036,D,1,1.4765593880901813,53.04857437833272,0.2163519905119829,0.061196021237115164,0.011589032556654135,1.2001231639321501
M4,Night-1,M1,um0.1,0.27311211252219036,D,2,1.5122259860631087,52.86099685795823,0.19627711913503476,0.06296122108523541,0.011547960258892796,1.2319767411623055
M4,Night-1,M1,um0.1,0.27311211252219036,D,3,1.4788559379363586,53.858914537162775,0.21859067245020625,0.06398254692077451,0.01146629083189572,1.0891398289760854
M4,Night-1,M1,um0.1,0.27311211252219036,D,4,1.489903713612212,53.40011184326883,0.20965710940052085,0.06031991530683482,0.012133414394180825,1.169459215127282
M4,Night-1,M1,kDa30,0.819336337566571,E,1,4.170938440982046,149.61788148172445,0.6016262720931679,0.06684129263989337,0.012185491348600926,1.2454764023074163
