Id,Id1,Bac,Virus
M29,2,602.0253295529501,8265.945958879574
M29,3,612.7315510908819,9310.35003432123
M3,1,633.6179905008927,10110.700450779717
M3,2,645.1374217909436,10566.5477807971
M3,3,633.6577316236761,10492.968092614874
M30,1,621.4845010731119,9672.789239942365
M30,2,621.4564142766457,9399.12995978028
M30,3,619.4379332770782,9144.155731471927
M31,1,637.9935400546864,9202.376836080259
M31,2,616.5407360442683,9530.269814607922
M31,3,628.7440543455723,9287.59804032009
M32,1,627.1941772888534,8936.04451630024
M32,2,627.1808806446472,8937.941352880753
M32,3,622.3251698599006,9114.375111338682
M33,1,618.7587504243471,8776.267009428333
M33,2,624.8564462898083,8851.705003279207
M33,3,612.8450277645113,9120.303392964499
M4,1,632.9712189601685,10098.791451930601
M4,2,643.964380237084,9803.079524739347
M4,3,647.9916526175359,9673.921501793637
M5,1,657.6786862559892,9232.550258871335
M5,2,658.5610949679891,9611.587616781302
M5,3,645.1290330008244,9457.333187774051
M6,1,667.5077652595975,9843.692279644458
M6,2,657.1777562282277,9919.004280390107
M6,3,657.7501603190957,9648.156968170899
M7,1,688.6388564226979,9497.264567602835
M7,2,681.9466060326323,9871.950697860175
M7,3,665.3920616777178,10120.112157403048
M8,1,659.8874931039538,8802.948777458067
M8,2,671.8595810456716,9466.033667349744
M8,3,660.0131384946626,9321.769413061724
M9,1,669.2956939475974,8972.055328433165
M9,2,668.9700827225256,9579.073720344242
M9,3,677.8249576866705,8985.96625687651
S1,1,644.3362297541921,9740.402149988658
S1,2,641.0871667082536,10412.502045424995
S1,3,638.6588419041361,9805.868998322589
S10,1,620.4912406613182,9879.162931287361
S10,2,620.4490856170569,10105.535754631042
S10,3,607.9474852356536,9923.764329469188
S11,1,600.416853751573,9440.526795812319
S11,2,592.7296330757174,9407.857670033563
S11,3,596.5830292163167,9610.074824998537
S12,1,620.4708152695077,10043.327149386329
S12,2,625.4458793968381,10399.849786908844
S12,3,603.7414649326097,9671.53710948801
S13,1,651.4793025069625,10123.854120892383
S13,2,639.3075319241646,9640.49321769628
S13,3,656.7982854895643,10821.559362311358
S14,1,664.1146348565072,8887.992345969935
S14,2,665.2594939376921,9361.207098073526
S14,3,657.1192067031844,9689.576061051026
S15,1,686.7988317625303,9212.11618698232
S15,2,682.514453643532,9311.452819122658
S15,3,691.2689067170271,9617.577421760348
S16,1,683.376034912915,9456.955521441532
S16,2,684.9978446624184,9993.282284583245
S16,3,673.3531954432863,9546.341672272965
S17,1,659.4699980958924,9061.694484816328
S17,2,661.4578912778601,9292.189992377456
S17,3,655.6670655652075,9539.188975031728
S18,1,668.9339098455771,9754.342950517957
S18,2,658.8647489086262,9290.119067962238
S18,3,655.7346400667437,9549.632341310651
S19,1,690.4895779623229,9122.556059114635
S19,2,679.4743847859904,9701.491344670938
S19,3,672.2326908908317,9419.173747652032
S2,1,652.6770798441219,9370.816246480872
S2,2,654.2045466447873,9353.091688325985
S2,3,650.0373730936888,9849.677154526944
S20,1,691.2636625867259,9128.154287809899
S20,2,686.9043600592748,9346.389887246998
S20,3,691.8562664467216,9153.797943494714
S21,1,670.9908908658705,8739.550198427207
S21,2,669.2073210302568,8991.72269002608
S21,3,671.2249537357416,8786.956556463692
S22,1,661.7305904137843,8769.042518523695
S22,2,666.917072806949,9016.263722263393
S22,3,670.8718657631109,9351.108971289661
S23,1,691.6267120974197,9302.153769631013
S23,2,671.7721547420547,9566.85054979215
S23,3,688.8785019913701,9293.140175156479
S24,1,667.8806090653466,9526.711712486755
S24,2,669.3719344024854,9927.157390194268
S24,3,664.2478833713448,9666.210316952449
S25,1,627.4107810166979,9320.686669235374
S25,2,635.6026303926782,9479.449218337302
S25,3,647.0784344839989,9421.108783050857
S26,1,626.8253196939648,8846.380967911966
S26,2,633.9686266221818,9202.468189920695
S26,3,630.479058513551,8517.016911277678
S27,1,620.6296205010754,8444.759812435492
S27,2,609.3309811577999,8605.167540455275
S27,3,619.2383882437836,9231.5416438857
S28,1,626.7322645474138,9111.747884680766
S28,2,649.3050505046901,8817.686276763852
S28,3,642.4360741034081,9272.273038302274
S29,1,692.7482829218114,8872.757539329965
S29,2,684.628673521718,8924.936777075092
S29,3,693.3594213840529,9801.401562662366
S3,1,676.2833532429311,10664.509104722438
S3,2,670.3504812286089,10389.684274574
S3,3,669.1174241628482,10193.506661205049
S30,1,685.4163970530001,9496.692136167707
S30,2,699.3445869325806,9434.81349597763
S30,3,699.5665658087942,9823.083131802758
S31,1,703.8745126829383,9786.865621415529
S31,2,710.2682629288345,9874.73352836504
S31,3,698.6449522032266,9151.475627310876
S32,1,700.5813170566231,9434.886758157674
S32,2,690.4301260903308,9313.405537296843
S32,3,693.7712045567422,9577.167234564751
S33,1,696.9129341806221,9137.204350659042
S33,2,707.3084256682251,8451.884175122439
S33,3,691.4195744600141,9130.96818151756
S4,1,632.9709657638824,10047.196676003305
S4,2,632.4742944809622,9960.28040639419
S4,3,643.8058210145298,10388.970320906952
S5,1,623.8329274231822,9428.221937481874
S5,2,631.7039287687155,9729.627137773914
S5,3,625.9227929510753,9866.3605893338
S6,1,607.385372796513,9300.54775670188
S6,2,604.9680613406706,10279.643033792463
S6,3,598.5524088058255,9871.896003285741
S7,1,644.2591550457465,10032.488893810605
S7,2,632.6227696254757,10276.233997509018
S7,3,649.1158758560928,9700.156979184532
S8,1,623.8521420768441,9274.470803427566
S8,2,620.3539863394883,9306.76601468417
S8,3,627.0631148082128,9255.89541377252
S9,1,624.5771337766929,9046.808226875748
S9,2,612.1158798525224,8918.539101104783
S9,3,622.8451423143613,9307.960210693267
