cruise,tday,para,na.d1,na.d2,na.d3,p,a,b,Mesor,phi,r2
CN11ID,2011-10-03T00:00:00Z,Abu_Euk,48,22,2,5.49567447106325e-4,-0.03714555052031596,0.006468445312434149,1.0048909167175724,2.9691836665795166,0.1955337012215783
CN11ID,2011-10-03T00:00:00Z,Abu_Pro,48,22,2,2.3279977945378505e-10,0.02406685811378617,-0.027503381576446228,0.9959704590304796,5.431247793436219,0.4742465823198838
CN11ID,2011-10-03T00:00:00Z,Abu_Syn,48,22,2,0,-0.07237614247811455,0.13607855782978429,0.9905319710784772,2.0596139162301,0.7895992672597801
CN11ID,2011-10-03T00:00:00Z,Bio_Euk,48,22,2,0,-0.07448821673854758,-0.1636370861964456,0.9930386104926636,4.285216041538762,0.896643725470652
CN11ID,2011-10-03T00:00:00Z,Bio_Pro,48,22,2,0,0.016590746943898983,-0.11891738562736136,0.9963816902453727,4.851009113580217,0.854037675202867
CN11ID,2011-10-03T00:00:00Z,Bio_Syn,48,22,2,0,-0.10159458691522479,0.060262575719862245,0.99195792890528,2.60621242597075,0.8132252960469594
CN11ID,2011-10-03T00:00:00Z,Dia_Euk,48,22,2,0,-0.0161770414169046,-0.06580973979984309,0.996332497487911,4.4713527129070485,0.9182643500525642
CN11ID,2011-10-03T00:00:00Z,Dia_Pro,48,22,2,0,-0.0037701015862580817,-0.03564529645813619,1.0006549107388707,4.607013594257081,0.8807404891007431
CN11ID,2011-10-03T00:00:00Z,Dia_Syn,48,22,2,0,-0.010231063859338757,-0.027620624154545945,1.000921681333696,4.357645026402474,0.7734188035394676
CN11ID,2011-10-04T00:00:00Z,Abu_Euk,22,2,4,0.5881392242003274,0.015232280075459147,0.004193023466587021,1.0133713735759393,0.268619268840574,0.009350550459235845
CN11ID,2011-10-04T00:00:00Z,Abu_Pro,22,2,4,0,0.017203171690095314,-0.03577017690830114,0.9967571428343399,5.160669539632581,0.5378850088161721
CN11ID,2011-10-04T00:00:00Z,Abu_Syn,22,2,4,4.982680934517703e-13,-0.04295059195793076,0.11840535930422873,1.0033090042040185,1.918777154701479,0.39430078743297114
CN11ID,2011-10-04T00:00:00Z,Bio_Euk,22,2,4,0,-0.020228988234200357,-0.16666240064473906,1.0027453825912247,4.591602787941261,0.5402745079931928
CN11ID,2011-10-04T00:00:00Z,Bio_Pro,22,2,4,0,0.022508146538491248,-0.14280219326175042,0.9985997947041596,4.8687205018224295,0.8394670492024292
CN11ID,2011-10-04T00:00:00Z,Bio_Syn,22,2,4,0.08065023892580903,-0.04212848594038374,0.025474797410802004,1.0106264706432697,2.5977296159613044,0.04358167689200375
CN11ID,2011-10-04T00:00:00Z,Dia_Euk,22,2,4,0,-0.014876791996806277,-0.06689261560961327,0.9977185679300087,4.493552419903018,0.9341853990227883
CN11ID,2011-10-04T00:00:00Z,Dia_Pro,22,2,4,0,0.0012328393393560497,-0.042459352219282875,1.0013591487612408,4.741416579520951,0.8302196339739377
CN11ID,2011-10-04T00:00:00Z,Dia_Syn,22,2,4,0,-0.001953029741585154,-0.03496609392545176,1.0026416605648083,4.656591997923039,0.5975965039034018
CN11ID,2011-10-05T00:00:00Z,Abu_Euk,2,4,48,0.03361834320667956,0.04751256383247857,-0.009256382742314419,1.0100355971546922,6.090775744826396,0.07502884207687496
CN11ID,2011-10-05T00:00:00Z,Abu_Pro,2,4,48,0,0.005059091803046023,-0.039065159590216114,1.0037379997534734,4.841176130558314,0.7517642501331051
CN11ID,2011-10-05T00:00:00Z,Abu_Syn,2,4,48,2.706939117302909e-9,-0.04729680653420485,0.11473179664863495,1.015710563393187,1.9618079846197936,0.36460252851659364
CN11ID,2011-10-05T00:00:00Z,Bio_Euk,2,4,48,2.220446049250313e-16,0.003545797169340715,-0.18164596993803514,1.0058496762126614,4.731906875023834,0.563490922788422
CN11ID,2011-10-05T00:00:00Z,Bio_Pro,2,4,48,0,0.016775650584766662,-0.15663525964936711,1.0083608796141796,4.819082372207602,0.8894418501488951
CN11ID,2011-10-05T00:00:00Z,Bio_Syn,2,4,48,0.4682722515572899,-0.03274339721787708,0.009029004286363542,1.0252180000255002,2.872528952562314,0.017290281295431077
CN11ID,2011-10-05T00:00:00Z,Dia_Euk,2,4,48,0,-0.018130012404843177,-0.0679387395430668,1.0006611706287953,4.451607743186707,0.9594441403397965
CN11ID,2011-10-05T00:00:00Z,Dia_Pro,2,4,48,0,0.004031136110826752,-0.046947348913975846,1.0025850436818668,4.798043929427537,0.8881733893070329
CN11ID,2011-10-05T00:00:00Z,Dia_Syn,2,4,48,0,0.0031151107988055564,-0.04024314578623208,1.0037155528121575,4.789642167734442,0.6979473882733794
FK180310-1,2018-03-11T00:00:00Z,Abu_Euk,48,19,2,3.333289059215261e-7,0.1299009801886519,0.12109220297209995,0.982784183298201,0.7503168788569254,0.3391851333949774
FK180310-1,2018-03-11T00:00:00Z,Abu_Pro,48,19,2,9.001226430882525e-10,0.009658774427299207,0.07789861995016556,0.9961332931757946,1.4474343425591853,0.4392999413313899
FK180310-1,2018-03-11T00:00:00Z,Abu_Syn,48,19,2,0.0016406420177114134,0.04734187037849526,0.14341018402213399,0.9491531631141557,1.2519449536372587,0.16316608463075621
FK180310-1,2018-03-11T00:00:00Z,Bio_Euk,48,19,2,0,0.04507761934612577,-0.25821068660670193,0.9934261129089486,4.885224082749781,0.6895071638494685
FK180310-1,2018-03-11T00:00:00Z,Bio_Pro,48,19,2,0,-0.09308436693861283,-0.3660485286800882,0.986823043362433,4.463371922737899,0.8069939025087904
