cruise,time_n,Abu_Euk,Abu_Pro,Abu_Syn,Bio_Euk,Bio_Pro,Bio_Syn,Dia_Euk,Dia_Pro,Dia_Syn
CN11ID,2011-10-03T11:00:00Z,1.30244826522125,0.9152732105282358,0.9068881597197752,1.1555932346277713,0.9549712138133731,1.0097502664702178,0.9562547146325753,1.0159324222588137,1.0598777329356521
CN11ID,2011-10-03T11:30:00Z,1.2440683243064445,0.9092267182637334,0.9167375037945135,1.1468868053305232,0.9399075971617755,1.0051208584328626,0.9628409944005861,1.0126252494027383,1.0382442936512752
CN11ID,2011-10-03T12:00:00Z,1.114152398798761,0.8833057537471493,0.9432817364045422,1.0632468349673596,0.9079928064467201,1.0033630426771933,0.9778070717420551,1.008504606786492,1.0160230808506912
CN11ID,2011-10-03T12:30:00Z,1.0898959442469605,0.8948200204023761,0.9234549695122096,1.058813939117646,0.9276051353246431,0.9797096871705135,0.9912905221833763,1.0295036003545506,1.0238577338515036
CN11ID,2011-10-03T13:00:00Z,1.0903070706011349,0.9554439693715391,0.9307232276474322,1.1209768484109333,1.0381768512954888,1.0375983186818298,1.0111727390669043,1.031395702730884,1.030848960124287
CN11ID,2011-10-03T13:30:00Z,1.09359608143453,0.9810312001638977,0.9237171621242164,1.1469137932234617,1.0544066249076476,1.030960248942474,1.0291257916089422,1.0292899383303002,1.03188317493351
CN11ID,2011-10-03T14:00:00Z,1.0705730062897438,0.9696923570390066,0.97328487678728,1.1606261445529833,1.0154412069603855,0.9928986966071836,1.0305955870800045,1.018420485159575,1.0235152866559658
CN11ID,2011-10-03T14:30:00Z,0.99657026391631,0.9317933707380188,0.9792270910630879,1.1448561561552606,0.9780906353347976,1.0455197397400062,1.048169349358564,1.0163482336999672,1.0130898431715896
CN11ID,2011-10-03T15:00:00Z,0.9854802757798616,0.9291074416822853,0.9335692021635329,1.111684206218595,0.9813532960290987,0.9832669932105855,1.0451201319092769,1.0250953055531429,1.0207809620455204
CN11ID,2011-10-03T15:30:00Z,0.9784807043326352,1.00341864356835,0.9817271966555274,1.1292357410435003,1.0618705226979621,1.046575229422963,1.0613596963590775,1.0250953055531429,1.0207809620455204
CN11ID,2011-10-03T16:00:00Z,0.9686136725214304,1.0241787115163241,0.9965118790006393,1.154924714656342,1.0796317157208282,1.073706583089698,1.0753525060822904,1.0230041607795188,1.0201032701999715
CN11ID,2011-10-03T16:30:00Z,0.9603911454379419,1.0186383138301836,0.9778326666101756,1.1755609313477144,1.0796317157208282,1.0177176688860445,1.0753525060822904,1.025931135136815,1.0271745594338084
CN11ID,2011-10-03T17:00:00Z,0.974774892867096,1.0142214554512856,0.9130663974712355,1.1610591677604263,1.0745598126713747,0.9758324275926057,1.0753525060822904,1.0234217305950488,1.0226036627249195
CN11ID,2011-10-03T17:30:00Z,0.9571021346045465,1.0142214554512856,0.8875536674649539,1.1082908081017422,1.072275397194454,0.9387108338451828,1.0653853178886574,1.0209200629005395,1.0162473858984564
CN11ID,2011-10-03T18:00:00Z,0.9984304700952278,1.0196602558870198,0.858934425629241,1.10179178224702,1.0735786803393497,0.9117447536009263,1.052080996599253,1.0209200629005395,1.0144401036113948
CN11ID,2011-10-03T18:30:00Z,0.9965702639163099,1.0214028936696449,0.8324375607183223,1.0855211003379184,1.0777675947645955,0.8780785285115563,1.047277392936374,1.0209200629005395,1.0148928966146258
CN11ID,2011-10-03T19:00:00Z,0.970873083782855,1.0230690767386714,0.8246226689623899,1.0800001366004297,1.0762969206421937,0.8606793763747386,1.0459745490932704,1.0200868881830687,1.0180574959716344
CN11ID,2011-10-03T19:30:00Z,0.9603911454379419,1.0279128992998818,0.8462183457349441,1.093234592547004,1.0815034920846172,0.8843458998243299,1.0512114848674783,1.0200868881830687,1.0072530805091708
CN11ID,2011-10-03T20:00:00Z,0.9612133981462907,1.039793606757816,0.8633171162952296,1.060922042653978,1.0975267861173368,0.873717732317256,1.0374086948902368,1.0213357571167343,1.0101676092688985
CN11ID,2011-10-03T20:30:00Z,0.9751693332992313,1.0379792861928037,0.8338305891347036,1.0461599677078166,1.10511025265241,0.8555067747713934,1.0201747806718804,1.0234217305950488,1.0103889656099272
CN11ID,2011-10-03T21:00:00Z,0.9669691671047327,1.0378379696671527,0.8370001408946496,1.0231531579748987,1.1018226238298556,0.8725463403549684,1.0214141827485113,1.0230035344633124,1.0101641268901522
CN11ID,2011-10-03T21:30:00Z,0.943946091270965,1.0320804210434964,0.839402109060604,1.0231531579748987,1.0874545886346791,0.8726662401430149,1.0289193509590349,1.021751451332929,1.010165196260774
CN11ID,2011-10-03T22:00:00Z,0.9423015858542672,1.0290922908946747,0.8378139822938044,0.995581031929682,1.0776785834739626,0.8727861399310614,1.0132009906560895,1.0192524362717652,1.008595634454944
CN11ID,2011-10-03T22:30:00Z,0.9620356508546396,1.0314425887981034,0.8509383928945535,0.9836091403112373,1.073892093310278,0.864458936257382,1.010361981009074,1.0157249117538112,1.001901016329746
CN11ID,2011-10-03T23:00:00Z,0.9620356508546396,1.0286566349721258,0.839860283959133,0.961426299166757,1.0617802959735765,0.8682698903209005,1.0003320023602627,1.0126252494027383,1.0001289293739493
CN11ID,2011-10-03T23:30:00Z,0.9463573563045402,1.0238858504151904,0.8891271109537644,0.9307183573999467,1.0467077637545432,0.8873754928647085,0.9881966349734358,1.009300407481017,0.9991493347033329
CN11ID,2011-10-04T00:00:00Z,0.9445744559754079,1.0204885100150234,0.8787553924970289,0.922627427922563,1.0348188429772827,0.8547427746667252,0.9820232679537487,1.0053458653626959,0.9942930172071035
